COMPAÑÍA,SECTOR,TIPO,VALOR (EN DÓLARES) (Q4 2023),NO. DE ACCIONES (Q4 2023),VALOR (EN DÓLARES) (Q2 2024),NO. DE ACCIONES (Q2 2024),CAMBIO,
ADVANCE AUTO PARTS INC,Automotriz,COM,4272100,70000,5259800,70000,0.23,
AMAZON COM INC,Tecnológico,COM,4558200,30000,5388600,30000,0.18,
AMERICAN COASTAL INS CORP,Financiero,COM,1990081,210368,2261456,210368,0.14,
BIG LOTS INC,Consumidor,COM,1752750,225000,780750,225000,-0.55,
BOOKING HOLDINGS INC,Turismo,COM,4434025,1250,4401350,1250,-0.01,
BRUKER CORP,Salud,COM,3674000,50000,4048500,50000,0.10,
CITIGROUP INC,Financiero,COM,5144000,100000,6266000,100000,0.22,
CVS HEALTH CORP,Salud,COM,5132400,65000,4366700,65000,-0.15,
HCA HEALTHCARE INC,Salud,COM,5413600,20000,6133800,20000,0.13,
METTLER TOLEDO INTERNATIONAL,Salud,COM,2425920,2000,2476180,2000,0.02,
MGM RESORTS INTERNATIONAL,Turismo,COM,4468000,100000,4109000,100000,-0.08,
NEXSTAR MEDIA GROUP INC,Entretenimiento,COM,5094375,32500,5164900,32500,0.01,
ORACLE CORP,Tecnológico,COM,5271500,50000,5860500,50000,0.11,
QURATE RETAIL INC,Tecnológico,COM,525300,600000,540660,600000,0.03,
SAFE BULKERS INC,Industrial,COM,982500,250000,1265000,250000,0.29,
THE REALREAL INC,Bienes de Lujo,COM,1316160,654806,2350754,654806,0.79,
VITAL ENERGY INC,Energético,COM,3980375,87500,4828250,87500,0.21,
WARNER BROS DISCOVERY INC,Entretenimiento,COM,4267500,375000,3041250,375000,-0.29,
